lengthscale l2regularizer rmse_mean rmse_median rmse_std pi_cov pi_sum
0.45 0.95 0.8836788 0.73140943 0.4445749 0.9411764705882353 48
0.3 0.35 0.9387472 0.7785146 0.48811433 0.9607843137254902 49
0.6 0.65 0.9768883 0.81722 0.46951404 0.9215686274509803 47
0.55 1.0 0.9215946 0.7416842 0.48222458 0.9411764705882353 48
0.3 0.5 0.92174053 0.7788722 0.47118032 0.9411764705882353 48
0.3 0.4 0.8967433 0.7560489 0.44053385 0.9411764705882353 48
0.5 0.9 0.912484 0.74813235 0.4868373 0.9411764705882353 48
0.6 0.9 0.9551239 0.8068044 0.48113248 0.9411764705882353 48
0.6 0.75 0.94283134 0.746855 0.48600715 0.9411764705882353 48
0.5 0.1 0.9091361 0.72356653 0.48811203 0.9411764705882353 48
0.3 0.85 0.9038271 0.7756543 0.44699037 0.9607843137254902 49
0.6 0.05 0.9451869 0.7614552 0.4854165 0.9411764705882353 48
0.5 0.2 0.90634334 0.72857785 0.48988408 0.9411764705882353 48
0.55 0.4 0.9037399 0.7006815 0.49118093 0.9607843137254902 49
0.55 0.05 0.91323775 0.71910655 0.48616943 0.9607843137254902 49
0.6 0.25 0.9410726 0.81003135 0.47313833 0.9215686274509803 47
0.5 0.45 0.9104041 0.730437 0.4869467 0.9411764705882353 48
0.6 0.5 0.93032455 0.8056226 0.47991297 0.9411764705882353 48
0.55 0.15 0.9085692 0.70235044 0.48874462 0.9607843137254902 49
0.55 0.85 0.9188509 0.7529931 0.4828118 0.9411764705882353 48
0.3 0.05 0.89660627 0.7683419 0.44541457 0.9607843137254902 49
0.5 0.35 0.90720195 0.7326752 0.48951694 0.9411764705882353 48
0.45 1.0 0.9048146 0.74637127 0.4327916 0.9411764705882353 48
0.5 0.4 0.90996265 0.7304337 0.48723015 0.9411764705882353 48
0.5 0.6 0.9106947 0.7358432 0.48738855 0.9411764705882353 48
0.5 0.85 0.9109012 0.7440479 0.4876877 0.9411764705882353 48
0.5 0.25 0.9082583 0.7304995 0.48824805 0.9411764705882353 48
0.5 1.0 0.88556063 0.7585468 0.4412318 0.9215686274509803 47
0.5 0.95 0.9138935 0.75471187 0.48567632 0.9215686274509803 47
0.55 0.7 0.91561395 0.7506417 0.48447752 0.9411764705882353 48
0.3 0.2 0.9300168 0.77673197 0.48547947 0.9803921568627451 50
0.55 0.2 0.9109596 0.71706986 0.48803988 0.9607843137254902 49
0.65 0.05 0.96105754 0.821224 0.47706437 0.9215686274509803 47
0.55 0.65 0.9126849 0.7289604 0.48667452 0.9411764705882353 48
0.55 0.9 0.9104126 0.72097886 0.48816445 0.9411764705882353 48
0.3 0.25 0.92925704 0.793175 0.48142642 0.9607843137254902 49
0.5 0.8 0.9104519 0.74102485 0.48789564 0.9411764705882353 48
0.6 0.55 0.9489466 0.7794026 0.48316666 0.9411764705882353 48
0.3 0.55 0.8954787 0.76186323 0.44049177 0.9607843137254902 49
0.5 0.3 0.90673065 0.7250786 0.4889682 0.9411764705882353 48
0.65 0.3 0.96215737 0.82208043 0.47717246 0.9215686274509803 47
0.3 0.45 0.92852056 0.77210873 0.48063725 0.9803921568627451 50
0.55 0.5 0.90800637 0.7025119 0.48813066 0.9607843137254902 49
0.55 0.35 0.92097855 0.7725763 0.48275092 0.9607843137254902 49
0.25 1.0 0.92675173 0.8120847 0.433924 0.9411764705882353 48
0.55 0.1 0.90759325 0.6996256 0.49016434 0.9607843137254902 49
0.6 0.1 0.9487177 0.77821887 0.48328543 0.9411764705882353 48
0.6 0.6 0.9534322 0.8013468 0.4815323 0.9411764705882353 48
0.65 0.8 0.967943 0.825557 0.47469524 0.9215686274509803 49
0.6 0.95 0.93484294 0.7848282 0.48026145 0.9411764705882353 48
0.55 0.95 0.9141489 0.72107154 0.48605233 0.9411764705882353 48
0.05 0.65 1.2539566 0.97013676 0.6066829 0.8823529411764706 45
0.6 0.85 0.93290156 0.7849819 0.4804201 0.9411764705882353 48
0.3 0.1 0.9361256 0.79034734 0.47045004 0.9607843137254902 49
0.65 0.2 0.9652608 0.8269064 0.47485733 0.9215686274509803 47
0.65 0.15 0.96076834 0.81913304 0.47756052 0.9215686274509803 47
0.55 0.8 0.92222726 0.7527575 0.48097196 0.9411764705882353 48
0.8 0.25 0.9638003 0.82602775 0.47347277 0.9215686274509803 47
0.65 0.25 0.9647516 0.8234372 0.47495478 0.9215686274509803 47
0.75 0.15 0.96501255 0.8262025 0.472123 0.9215686274509803 47
0.6 0.7 0.9348687 0.808018 0.47912514 0.9411764705882353 48
0.5 0.15 0.90872324 0.7251722 0.4879682 0.9411764705882353 48
0.6 0.35 0.94487447 0.7600182 0.48500565 0.9411764705882353 48
0.55 0.55 0.9141976 0.73358625 0.48443145 0.9411764705882353 48
0.6 0.3 0.9491585 0.7799289 0.48311073 0.9411764705882353 48
0.6 0.2 0.9399832 0.74150234 0.485162 0.9411764705882353 48
0.75 0.25 0.9650732 0.8256406 0.47220743 0.9215686274509803 47
0.75 0.7 0.9667535 0.826301 0.4719363 0.9215686274509803 47
0.75 0.05 0.9650217 0.82635486 0.47219735 0.9215686274509803 47
0.05 0.95 1.251931 0.9373592 0.629542 0.9019607843137255 46
0.8 0.3 0.9637802 0.8259176 0.47355795 0.9215686274509803 4747
0.65 0.1 0.9646713 0.8242593 0.47569194 0.9215686274509803 47
0.7 0.1 0.9531828 0.8262275 0.48306537 0.9215686274509803 47
0.75 0.65 0.96653354 0.8262217 0.47204757 0.9215686274509803 47
0.6 1.0 0.9403079 0.8108529 0.4786234 0.9411764705882353 48
1.0 0.95 0.99751407 0.8477323 0.45219776 0.9215686274509803 47
0.65 0.45 0.96589965 0.8257506 0.4748135 0.9215686274509803 47
0.6 0.45 0.94872874 0.7774215 0.48317006 0.9411764705882353 48
0.1 0.6 1.1489828 0.9952168 0.5131851 0.9019607843137255 46
0.75 0.6 0.966352 0.8262274 0.4721858 0.9215686274509803 47
0.8 0.45 0.96670294 0.82596385 0.47147295 0.9215686274509803 47
0.8 0.65 0.96695966 0.826633 0.4715709 0.9215686274509803 47
0.9 0.1 0.96868134 0.82599473 0.4695948 0.9215686274509803 47
0.6 0.4 0.9532917 0.80117023 0.48162192 0.9411764705882353 48
1.0 1.0 0.997574 0.8462604 0.4519543 0.9215686274509803 47
0.65 0.5 0.9626293 0.8211417 0.4772142 0.9215686274509803 47
0.7 0.95 0.9702859 0.8265244 0.46896237 0.9215686274509803 47
0.7 0.55 0.9544271 0.82588637 0.48283556 0.9215686274509803 47
0.75 0.1 0.9635353 0.8261545 0.4735235 0.9215686274509803 47
0.8 0.75 0.9703792 0.82694113 0.46881667 0.9215686274509803 47
0.75 0.35 0.965234 0.8257786 0.4722295 0.9215686274509803 47
0.75 0.55 0.9644238 0.8260665 0.47381508 0.9215686274509803 47
1.0 0.8 0.9973448 0.8516295 0.4529897 0.9215686274509803 47
0.9 0.05 0.96667635 0.82589185 0.47139236 0.9215686274509803 47
0.9 0.85 0.97013444 0.82830757 0.46830773 0.9215686274509803 47
0.8 0.5 0.96459544 0.8262216 0.473761 0.9215686274509803 47
0.9 0.6 0.9685329 0.8271867 0.46970558 0.9215686274509803 47
0.75 0.3 0.96505153 0.825624 0.47230637 0.9215686274509803 47
0.75 0.5 0.96586096 0.82594764 0.4723983 0.9215686274509803 47
0.85 0.2 0.96619165 0.8257712 0.4712553 0.9215686274509803 47
0.75 0.8 0.9672678 0.82656956 0.47148338 0.9215686274509803 47
0.65 0.55 0.966582 0.8256242 0.4752426 0.9215686274509803 47
0.75 0.75 0.96702135 0.8265792 0.47163954 0.9215686274509803 47
0.85 0.3 0.96660626 0.82614225 0.471491 0.9215686274509803 47
0.15 0.35 0.9708437 0.80337787 0.5448736 0.9411764705882353 48
0.75 0.45 0.96549827 0.8254503 0.4723226 0.9215686274509803 47
0.9 0.25 0.96692055 0.8259981 0.47096142 0.9215686274509803 47
0.9 0.65 0.9688474 0.8273474 0.46957174 0.9215686274509803 47
0.7 0.7 0.9552515 0.8255111 0.48250678 0.9215686274509803 47
0.8 0.35 0.9639146 0.825702 0.47368038 0.9215686274509803 47
0.9 0.15 0.96665686 0.8258878 0.4713001 0.9215686274509803 47
0.8 0.7 0.96729195 0.8267534 0.47143397 0.9215686274509803 47
0.85 0.25 0.966421 0.82587916 0.47149625 0.9215686274509803 47
0.65 0.4 0.96205693 0.8225595 0.4766066 0.9215686274509803 47
0.8 0.4 0.96427834 0.82595086 0.4739347 0.9215686274509803 47
0.85 0.95 0.9722276 0.8282279 0.46680552 0.9215686274509803 47
0.75 0.9 0.965926 0.8268474 0.47261578 0.9215686274509803 47
0.7 0.2 0.9676143 0.8261812 0.47075027 0.9215686274509803 47
0.25 0.95 0.91468704 0.7726772 0.4424389 0.9607843137254902 49
0.9 0.35 0.96747696 0.8262487 0.47105172 0.9215686274509803 47
0.75 0.2 0.9636076 0.82607394 0.47347653 0.9215686274509803 47
0.65 0.65 0.9666343 0.8255957 0.47453618 0.9215686274509803 47
0.9 0.2 0.9665802 0.8260448 0.47142133 0.9215686274509803 47
0.7 0.6 0.9547492 0.82597935 0.48290333 0.9215686274509803 47
0.65 0.95 0.96588504 0.8259132 0.47613478 0.9215686274509803 47
0.65 0.75 0.94130915 0.74285614 0.4868594 0.9411764705882353 48
0.85 1.0 0.97254246 0.82844436 0.46638075 0.9215686274509803 47
0.85 0.65 0.9682085 0.8269565 0.4704664 0.9215686274509803 47
0.75 0.95 0.97100276 0.8271725 0.46834895 0.9215686274509803 47
0.8 0.6 0.96491945 0.8263983 0.473369 0.9215686274509803 47
0.9 0.8 0.9697927 0.82806516 0.46866134 0.9215686274509803 47
0.8 0.55 0.96937525 0.8261996 0.46958083 0.9215686274509803 47
0.2 0.2 0.9942009 0.84408724 0.44832644 0.9215686274509803 48
0.9 0.4 0.9695082 0.8264085 0.46914455 0.9215686274509803 47
0.05 0.85 1.2674031 0.9970461 0.6198485 0.8823529411764706 45
0.9 0.7 0.96918523 0.82758725 0.46926194 0.9215686274509803 47
0.8 0.1 0.96358186 0.82602435 0.4736793 0.9215686274509803 47
0.9 0.45 0.97479886 0.8265109 0.46538162 0.9215686274509803 47
0.95 0.35 0.9666401 0.8263413 0.4714503 0.9215686274509803 47
0.9 1.0 0.97142947 0.8290056 0.4670957 0.9215686274509803 47
0.9 0.55 0.96837485 0.82688475 0.47028655 0.9215686274509803 47
0.85 0.5 0.96746826 0.8264469 0.47124436 0.9215686274509803 47
0.7 0.15 0.96747696 0.825679 0.47080234 0.9215686274509803 47
0.95 0.3 0.9938782 0.84178805 0.45548597 0.9215686274509803 47
0.95 0.4 0.9673063 0.8266237 0.47095892 0.9215686274509803 47
0.65 0.35 0.96277636 0.82492363 0.4766383 0.9215686274509803 47
0.85 0.9 0.9698669 0.828004 0.46865207 0.9215686274509803 47
0.7 0.35 0.96772605 0.82587606 0.4704313 0.9215686274509803 47
0.9 0.5 0.96798354 0.8266777 0.4704434 0.9215686274509803 47
0.85 0.35 0.9667056 0.82607794 0.47125682 0.9215686274509803 47
0.85 0.85 0.9694749 0.8277978 0.46898496 0.9215686274509803 47
0.95 0.5 0.99690753 0.85551846 0.4544408 0.9215686274509803 47
0.85 0.6 0.9679445 0.8267629 0.47075605 0.9215686274509803 47
0.7 0.65 0.95495206 0.8256136 0.48271808 0.9215686274509803 47
0.85 0.8 0.9691564 0.8275238 0.469258 0.9215686274509803 47
0.7 0.3 0.95330846 0.82567257 0.48352203 0.9215686274509803 47
0.95 0.2 0.96974325 0.8261142 0.46849197 0.9215686274509803 47
0.75 0.85 0.9675425 0.8269263 0.47123006 0.9215686274509803 47
0.65 0.6 0.9633194 0.8251035 0.47617292 0.9215686274509803 47
0.7 1.0 0.97050345 0.82644546 0.46877724 0.9215686274509803 47
0.7 0.85 0.96977156 0.8262569 0.46933198 0.9215686274509803 47
0.8 0.05 0.9635008 0.82589716 0.47345293 0.9215686274509803 47
0.95 0.25 0.9663494 0.82622015 0.47118667 0.9215686274509803 47
0.7 0.5 0.9679674 0.82564306 0.4700029 0.9215686274509803 47
0.9 0.75 0.9694111 0.827803 0.46904302 0.9215686274509803 47
0.7 0.45 0.96803725 0.8256892 0.47049373 0.9215686274509803 47
0.9 0.9 0.9706392 0.82846206 0.46783164 0.9215686274509803 47
0.2 0.8 0.9857664 0.80501556 0.46177167 0.9019607843137255 46
0.7 0.75 0.9671276 0.8257562 0.4714303 0.9215686274509803 47
0.95 0.45 0.98097193 0.8267073 0.46119183 0.9215686274509803 47
0.95 0.75 0.96956766 0.8282673 0.46859756 0.9215686274509803 47
0.65 0.7 0.9671195 0.8251895 0.4751383 0.9215686274509803 47
0.8 0.2 0.9636756 0.82600856 0.4735361 0.9215686274509803 47
0.95 0.6 0.987568 0.82747865 0.45746377 0.9215686274509803 47
0.85 0.7 0.9685491 0.8272184 0.47003636 0.9215686274509803 47
