lengthscale l2regularizer bma_rmse_mean bma_rmse_median bma_std bma_cov nll_bma_mean nll_bma_median bae_rmse_mean bae_rmse_median bae_std bae_cov nll_bae_mean nll_bae_median
0.1 3.9 0.9028104 0.84821224 0.3930306 0.9215686274509803 1.0763427 0.92107797 1.1516663 1.0801024 0.3591028 0.9607843137254902 1.2215457 1.1292292
0.15 0.4 0.9028857 0.84820557 0.39284402 0.9215686274509803 1.0761209 0.9210743 5.09013 3.6818275 3.4499116 0.8235294117647058 3.4179955 1.3671043
0.1 4.5 0.90283746 0.84800684 0.3930563 0.9215686274509803 1.0764742 0.92115045 1.1165045 1.031626 0.34412974 0.9607843137254902 1.2382268 1.0887765
0.1 1.9 0.90283793 0.84787923 0.39315146 0.9215686274509803 1.0765603 0.9209339 1.4148556 1.2998886 0.5581877 0.9803921568627451 1.0852417 1.1061856
0.1 2.8 0.9029059 0.84792066 0.39304504 0.9215686274509803 1.0767659 0.9210229 1.2631096 1.2248411 0.41162282 0.9607843137254902 1.1504765 1.0778338
0.1 4.6 0.9028475 0.848119 0.3930799 0.9215686274509803 1.0764135 0.921114 1.1057899 1.0332022 0.3441796 0.9607843137254902 1.2254523 1.0830176
0.1 4.45 0.902788 0.8480129 0.39296693 0.9215686274509803 1.0764744 0.92117 1.1207026 1.0364901 0.34430692 0.9607843137254902 1.2400686 1.0920529
0.1 4.4 0.90281457 0.8479701 0.3930663 0.9215686274509803 1.0764626 0.9211501 1.1220852 1.0426043 0.3445148 0.9607843137254902 1.2372879 1.0948865
0.15 0.1 2085413800.0 1883367300.0 455445380.0 0.9019607843137255 1.0372133 0.96541095 5.818548 4.4797273 3.7794507 0.8235294117647058 3.387312 1.3646225
0.15 0.65 0.9028926 0.8481984 0.39285323 0.9215686274509803 1.0761234 0.9210703 4.135773 2.9774537 2.7597997 0.803921568627451 3.5081751 1.2930524
0.1 4.95 0.9029996 0.84817505 0.39321387 0.9215686274509803 1.0766073 0.9211074 1.0895392 1.0204613 0.3424348 0.9607843137254902 1.2386286 1.0757605
