lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov bma_rmse_mean bma_rmse_median bma_std bma_cov bae_rmse_mean bae_rmse_median bae_std bae_cov
0.25 1.0 0.8777685 0.8594438 0.35070187 0.8431372549019608 0.87059623 0.8383584 0.34480345 0.8235294117647058 2.7134252 3.094357 0.8241251 0.8823529411764706
0.3 0.9 0.9183882 0.8715345 0.37798777 0.8431372549019608 0.9135884 0.8486532 0.3691598 0.8235294117647058 2.6937006 2.8594418 0.882916 0.9215686274509803
0.3 0.3 0.8825633 0.79682046 0.3668988 0.8627450980392157 0.8754736 0.7752962 0.35549307 0.8627450980392157 2.4706147 2.6948457 0.9345375 0.9411764705882353
0.25 0.15 0.87429315 0.7869395 0.40334594 0.8627450980392157 0.85715216 0.7585325 0.3992329 0.8627450980392157 2.0785992 2.1762848 0.8648502 0.9607843137254902
0.35 0.85 0.9364029 0.8846558 0.3773134 0.8431372549019608 0.9306285 0.85822284 0.36823678 0.8235294117647058 2.7608378 2.9512863 0.94589096 0.9215686274509803
0.3 0.1 0.88984025 0.84169805 0.40967426 0.8823529411764706 0.8750304 0.81331164 0.4015937 0.8823529411764706 1.978857 2.1347687 0.8715245 0.9607843137254902
0.4 0.1 0.8513894 0.7903781 0.39150912 0.8627450980392157 0.8389379 0.757187 0.38230678 0.8823529411764706 2.0081716 2.2085586 0.75841767 0.9411764705882353
0.3 0.15 0.877121 0.75261784 0.40053663 0.8431372549019608 0.8637398 0.72083175 0.39482793 0.8431372549019608 2.1154485 2.1315222 0.8598561 0.9411764705882353
0.4 0.3 0.8869168 0.8235556 0.36755568 0.8627450980392157 0.87955534 0.7967607 0.35698572 0.8627450980392157 2.3174236 2.4249873 0.8959942 0.9411764705882353
0.3 0.2 0.8669424 0.7776388 0.40010437 0.8431372549019608 0.8558424 0.75190413 0.3945079 0.8431372549019608 2.2890925 2.541791 0.86917144 0.9607843137254902
0.4 0.05 0.8767686 0.87474334 0.4060979 0.9215686274509803 0.85514486 0.83130884 0.4025117 0.9411764705882353 1.865895 2.0136738 0.7525562 0.9215686274509803
0.45 0.15 0.8846882 0.788434 0.35496622 0.8627450980392157 0.87127465 0.77140415 0.34987485 0.8627450980392157 2.2075214 2.4025373 0.82781315 0.9411764705882353
