lengthscale l2regularizer bma_mean_rmse_mean bma_mean_rmse_median bma_mean_std bma_mean_cov bma_rmse_mean bma_rmse_median bma_std bma_cov bae_rmse_mean bae_rmse_median bae_std bae_cov
0.15 0.2 1.2724279 1.1147537 0.6348482 0.8823529411764706 1.2645841 1.1100361 0.64148605 0.8823529411764706 2.5157478 2.2387285 0.8604296 0.8431372549019608
0.2 0.15 1.0880927 1.0395073 0.5005057 0.8823529411764706 1.0812956 1.0290757 0.50875723 0.8823529411764706 2.368036 2.2293668 0.887058 0.8627450980392157
0.15 0.8 1.2114431 1.1249075 0.5598019 0.8627450980392157 1.2042068 1.1196764 0.5662846 0.8627450980392157 2.928644 2.6435516 0.94506377 0.8627450980392157
0.45 0.25 1.0352346 1.0412382 0.35949633 0.8823529411764706 1.0310634 1.03525 0.3691492 0.8823529411764706 2.4757564 2.1348135 0.82014424 0.9411764705882353
0.45 0.45 1.0886405 1.0520389 0.35365954 0.8823529411764706 1.0847527 1.0421057 0.36236435 0.8823529411764706 2.7148535 2.5296721 0.7816139 0.9215686274509803
0.6 0.3 1.0064965 0.9308455 0.38382584 0.9019607843137255 1.0031145 0.9211343 0.39282948 0.9019607843137255 2.550316 2.3435054 1.0118675 0.9019607843137255
0.2 0.05 1.1412715 1.133294 0.42994565 0.9215686274509803 1.131867 1.1232074 0.4399116 0.9411764705882353 1.9636928 1.8517507 0.7353615 0.8627450980392157
0.15 0.95 1.2498194 1.1549736 0.5504893 0.8627450980392157 1.242714 1.1486384 0.55693704 0.8627450980392157 2.8926861 2.5923047 0.92729825 0.8627450980392157
0.55 0.65 1.1105303 1.1073887 0.38560706 0.8823529411764706 1.106999 1.0957506 0.3938879 0.8823529411764706 2.9000442 2.5723677 1.0001676 0.9215686274509803
0.4 0.65 1.1375467 1.1051307 0.35128623 0.8823529411764706 1.1326195 1.0963786 0.35962427 0.8823529411764706 2.913498 2.7229064 0.67498904 0.9215686274509803
0.2 0.5 1.2099818 1.111562 0.55821747 0.9215686274509803 1.2030792 1.1042607 0.5644917 0.9215686274509803 2.7742722 2.440372 0.7732328 0.8431372549019608
0.45 0.65 1.1492497 1.1277626 0.34832028 0.8823529411764706 1.1443199 1.1254127 0.35829636 0.8823529411764706 2.8841858 2.6336517 0.7813167 0.9215686274509803
0.15 0.6 1.1992887 1.0868323 0.5937381 0.8627450980392157 1.1907071 1.0742657 0.60095096 0.8627450980392157 2.9443493 2.5673466 0.89537853 0.8823529411764706
0.45 0.9 1.153193 1.1421771 0.34070778 0.8823529411764706 1.1476841 1.1389883 0.35162866 0.8823529411764706 2.9993942 2.7255692 0.67768365 0.9215686274509803
0.4 0.5 1.1005243 1.1060895 0.3845915 0.9019607843137255 1.096145 1.0978283 0.39264762 0.9019607843137255 2.7295773 2.5234766 0.7166357 0.9215686274509803
0.45 0.95 1.1699451 1.1986852 0.3355471 0.8823529411764706 1.1643153 1.1949253 0.34706917 0.8823529411764706 2.922498 2.6450238 0.6717312 0.9215686274509803
0.2 0.2 1.0963906 1.0484835 0.5026423 0.8823529411764706 1.0889015 1.0399109 0.5103975 0.8823529411764706 2.5275753 2.362288 0.8790044 0.8823529411764706
0.4 0.75 1.1467236 1.1162102 0.34275192 0.8823529411764706 1.1418346 1.1133449 0.35268292 0.8823529411764706 2.893241 2.6594586 0.7384273 0.8823529411764706
0.15 0.75 1.1972487 1.0985787 0.5693884 0.8627450980392157 1.1897948 1.0927694 0.5756345 0.8627450980392157 2.9060113 2.664145 0.8766321 0.8823529411764706
0.2 0.25 1.0817312 1.0319507 0.473416 0.9019607843137255 1.0746787 1.0226536 0.4813106 0.8823529411764706 2.4500616 2.2039967 0.910472 0.8627450980392157
0.15 0.85 1.2097467 1.1065519 0.5438034 0.8627450980392157 1.2033857 1.1024034 0.5492276 0.8627450980392157 2.916507 2.6696515 0.92144275 0.9019607843137255
0.4 0.6 1.1141096 1.1037929 0.3676213 0.9019607843137255 1.1091754 1.0951713 0.37569076 0.8823529411764706 2.8534076 2.7128696 0.716111 0.9215686274509803
0.2 0.35 1.1388646 1.0416178 0.5105872 0.9215686274509803 1.1309589 1.031987 0.51716864 0.9215686274509803 2.6835759 2.425303 0.8860871 0.9019607843137255
0.6 0.45 1.0800811 1.0627084 0.3689355 0.9019607843137255 1.0771314 1.0517538 0.3774886 0.9019607843137255 2.7897928 2.509624 0.88176566 0.9215686274509803
